policy,measurements,exact_match_rate,substring_match_rate,mean_elapsed_seconds,median_elapsed_seconds,mean_policy_overhead_seconds,mean_cache_reduction_pct_vs_full,mean_elapsed_delta_seconds_vs_full,exact_match_delta_vs_full,substring_match_delta_vs_full
attention_topk,60,0.0,0.0,1.9288600314332143,1.9488274235009158,0.15446085068342652,29.989885445454924,0.14108603971662886,0.0,0.0
fifo,60,0.0,0.0,1.9170224467166614,1.9221873055003016,0.15147129908382337,29.18446269121934,0.12924845500007603,0.0,0.0
h2o,60,0.0,0.0,41.04723621476669,24.789009988000544,37.67859282138373,29.18446269121934,39.25946222305011,0.0,0.0
learned_block,60,0.0,0.0,2.5340749709333372,2.3891924580002524,0.7201202495490179,29.989885445454924,0.7463009792167516,0.0,0.0
sink_recent,60,0.0,0.0,1.9129490884332274,1.9336331069989683,0.14386193786716223,29.190564965353694,0.12517509671664204,0.0,0.0
uniform,60,0.0,0.0,1.9106367588165996,1.9119688979990315,0.14752442911691704,29.188530708467734,0.12286276710001405,0.0,0.0
